,id,prod,cat,video_id,aspect,negative,neutral,positive
0,21,VR,Apple,4MbshUkkA38,Gyroscope,0.030176336,0.6719729,0.2978508
0,21,VR,Apple,4MbshUkkA38,audio,0.012866598,0.8197374,0.16739601
0,21,VR,Apple,4MbshUkkA38,visual,0.030446446,0.5420525,0.4275011
0,21,VR,Apple,4MbshUkkA38,technology,0.01974719,0.639368,0.3408848
0,21,VR,Apple,4MbshUkkA38,specification,0.023037946,0.46671587,0.51024616
0,22,VR,Apple,4MbshUkkA38,performance,0.029213268,0.55899954,0.41178718
0,22,VR,Apple,4MbshUkkA38,experience,0.023754677,0.88245827,0.09378703
0,22,VR,Apple,4MbshUkkA38,gaming,0.01621736,0.93328124,0.050501496
0,22,VR,Apple,4MbshUkkA38,mixed reality,0.028956313,0.9075499,0.06349382
0,22,VR,Apple,4MbshUkkA38,Gyroscope,0.020811686,0.8551988,0.12398952
0,22,VR,Apple,4MbshUkkA38,audio,0.014911091,0.70840275,0.2766861
0,22,VR,Apple,4MbshUkkA38,visual,0.011155328,0.8718672,0.11697757
0,22,VR,Apple,4MbshUkkA38,technology,0.02483399,0.7621726,0.21299344
0,22,VR,Apple,4MbshUkkA38,specification,0.025541086,0.7950241,0.17943475
0,23,VR,Apple,4MbshUkkA38,performance,0.06272507,0.68476486,0.25251007
0,23,VR,Apple,4MbshUkkA38,experience,0.061436176,0.861004,0.077559724
0,23,VR,Apple,4MbshUkkA38,gaming,0.038397916,0.9366144,0.024987597
0,23,VR,Apple,4MbshUkkA38,mixed reality,0.21689644,0.7437038,0.039399784
0,23,VR,Apple,4MbshUkkA38,Gyroscope,0.047031283,0.91385883,0.039110005
0,23,VR,Apple,4MbshUkkA38,audio,0.03863937,0.92838866,0.03297204
0,23,VR,Apple,4MbshUkkA38,visual,0.012552549,0.9630796,0.024367858
0,23,VR,Apple,4MbshUkkA38,technology,0.06462342,0.7759638,0.1594127
0,23,VR,Apple,4MbshUkkA38,specification,0.04629355,0.9079091,0.045797408
0,24,VR,Apple,4MbshUkkA38,performance,0.018553216,0.43785486,0.543592
0,24,VR,Apple,4MbshUkkA38,experience,0.02248326,0.5840682,0.3934486
0,24,VR,Apple,4MbshUkkA38,gaming,0.022317907,0.6797732,0.29790884
0,24,VR,Apple,4MbshUkkA38,mixed reality,0.04040177,0.6495914,0.31000686
0,24,VR,Apple,4MbshUkkA38,Gyroscope,0.018867344,0.67751515,0.3036175
0,24,VR,Apple,4MbshUkkA38,audio,0.020862631,0.62516046,0.35397685
0,24,VR,Apple,4MbshUkkA38,visual,0.00996389,0.5314328,0.45860335
0,24,VR,Apple,4MbshUkkA38,technology,0.01300847,0.45261598,0.53437555
0,24,VR,Apple,4MbshUkkA38,specification,0.015673108,0.6057609,0.37856603
0,25,VR,Apple,SaneSRqePVY,performance,0.07959883,0.514143,0.40625817
0,25,VR,Apple,SaneSRqePVY,experience,0.07732265,0.5106597,0.4120177
